menu_id,restaurant_id,item_name,category,price,vegetarian
M00556,R0087,Spring Rolls,Snack,583,No
M00557,R0087,Pad Thai,Dessert,534,No
M00558,R0087,Tom Yum,Dessert,309,No
M00559,R0087,Mughlai Paratha,Dessert,629,No
M00560,R0087,Chicken Korma,Snack,355,No
M00561,R0087,Seekh Kebab,Snack,170,No
M00562,R0087,Chicken Fry,Snack,430,Yes
M00563,R0087,Andhra Meals,Dessert,538,Yes
M00564,R0088,Cheesecake,Beverage,383,Yes
M00565,R0088,Cappuccino,Snack,245,Yes
M00566,R0088,Fish Curry,Beverage,286,No
M00567,R0088,Appam,Snack,521,Yes
M00568,R0088,Kerala Parotta,Snack,287,Yes
M00569,R0089,French Fries,Starter,147,Yes
M00570,R0089,Wrap,Dessert,462,Yes
M00571,R0090,Club Sandwich,Snack,355,No
M00572,R0090,Cappuccino,Snack,619,Yes
M00573,R0090,Cheesecake,Snack,642,Yes
M00574,R0090,Cold Coffee,Beverage,641,No
M00575,R0090,Quesadilla,Starter,93,Yes
M00576,R0090,Nachos,Snack,268,Yes
M00577,R0090,Burrito,Main Course,234,Yes
M00578,R0091,Quesadilla,Dessert,422,Yes
M00579,R0091,Tacos,Snack,590,Yes
M00580,R0091,Nachos,Starter,261,Yes
M00581,R0092,Butter Chicken,Beverage,272,Yes
M00582,R0092,Chicken Korma,Beverage,485,No
M00583,R0092,Seekh Kebab,Main Course,172,No
M00584,R0092,Andhra Meals,Starter,454,Yes
M00585,R0092,Pulihora,Snack,286,No
M00586,R0092,Chicken Fry,Beverage,301,No
M00587,R0093,Brownie,Dessert,517,Yes
M00588,R0093,Ice Cream,Main Course,229,Yes
M00589,R0093,Gulab Jamun,Beverage,87,Yes
M00590,R0093,Waffle,Main Course,419,Yes
M00591,R0094,Chicken Korma,Snack,598,No
M00592,R0094,Seekh Kebab,Dessert,318,No
M00593,R0094,Mughlai Paratha,Snack,260,Yes
M00594,R0094,Butter Chicken,Starter,258,No
M00595,R0095,Wrap,Starter,343,Yes
M00596,R0095,French Fries,Dessert,445,No
M00597,R0095,Chole Bhature,Starter,143,No
M00598,R0095,Dal Makhani,Dessert,573,Yes
M00599,R0095,Butter Naan,Main Course,150,No
M00600,R0095,Paneer Butter Masala,Main Course,355,Yes
M00601,R0095,Margherita Pizza,Beverage,564,No
M00602,R0095,Lasagna,Snack,375,No
M00603,R0095,Garlic Bread,Snack,189,No
M00604,R0096,Veg Biryani,Beverage,128,Yes
M00605,R0096,Chicken Biryani,Beverage,92,No
M00606,R0096,Masala Dosa,Main Course,245,Yes
M00607,R0096,Vada,Main Course,110,Yes
M00608,R0096,Brownie,Dessert,271,Yes
M00609,R0096,Ice Cream,Main Course,503,Yes
M00610,R0096,Gulab Jamun,Snack,191,No
M00611,R0096,Waffle,Starter,144,Yes
M00612,R0097,Paneer Butter Masala,Starter,518,Yes
M00613,R0097,Dal Makhani,Main Course,260,No
M00614,R0097,Chole Bhature,Main Course,168,No
M00615,R0097,Butter Naan,Main Course,450,No
M00616,R0098,Garlic Bread,Dessert,111,Yes
M00617,R0098,Margherita Pizza,Beverage,297,Yes
M00618,R0099,Fried Rice,Starter,526,No
M00619,R0099,Spring Rolls,Beverage,117,Yes
M00620,R0099,Cheesecake,Main Course,518,Yes
M00621,R0099,Cold Coffee,Beverage,266,Yes
M00622,R0099,Club Sandwich,Dessert,308,No
M00623,R0099,Cappuccino,Snack,267,No
M00624,R0100,Pad Thai,Beverage,630,No
M00625,R0100,Tom Yum,Starter,266,No
M00626,R0100,Thai Green Curry,Beverage,132,No
